index,row,col
1,"[[5], [1], [4], [1], [1]]","[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
2,"[[1, 2], [1, 3], [3, 1], [1], [1]]","[[2], [1, 1], [2, 1], [2], [4]]"
3,"[[1, 1], [0], [2], [1, 1, 1], [5]]","[[1, 2], [1, 1], [1, 3], [1], [2]]"
4,"[[1, 1], [1, 1], [2], [2, 1], [1]]","[[2, 1], [1], [2], [1, 2], [1]]"
5,"[[1, 2], [0], [2, 1], [2, 1], [1, 1]]","[[1, 1, 1], [2], [1, 1], [1], [3]]"
6,"[[1, 3], [1, 3], [3], [1, 2], [2]]","[[2, 2], [1, 1], [3], [4], [2, 1]]"
7,"[[2, 2], [2], [1], [1, 1], [1, 2]]","[[1, 2], [1], [0], [2, 2], [3, 1]]"
8,"[[4], [3], [2, 1], [2, 2], [1, 1]]","[[2], [1, 2], [2, 1], [2, 1], [5]]"
9,"[[0], [3], [1, 1], [2], [2, 2]]","[[3], [2], [2], [1, 1], [1, 1]]"
10,"[[1], [2], [0], [2, 1], [2]]","[[1], [1], [1, 1], [2, 1], [1]]"
11,"[[1, 1, 1], [1], [3], [1], [1, 1]]","[[1, 2], [1, 1], [1, 1], [0], [2, 1]]"
12,"[[1, 1], [2], [3], [5], [2, 1]]","[[2], [1, 3], [3], [1, 1], [2, 2]]"
13,"[[0], [2, 1], [2], [2, 1], [3]]","[[1, 1], [1, 2], [1, 1], [3], [1]]"
14,"[[1], [2], [1, 2], [1, 1], [0]]","[[0], [1, 2], [1], [3], [1]]"
15,"[[1, 3], [3], [2], [2], [2]]","[[1, 1], [2, 1], [2, 2], [2, 1], [1]]"
16,"[[1], [3], [1, 1], [3], [3]]","[[2], [1, 2], [4], [1, 2], [0]]"
17,"[[3], [2], [3], [2], [2]]","[[1, 1], [1, 1], [5], [1, 2], [0]]"
18,"[[2, 1], [1], [2], [3], [2]]","[[1, 1], [1, 2], [3], [2, 1], [0]]"
19,"[[1, 1], [4], [3], [1, 1], [3]]","[[0], [2, 1], [2, 1], [4], [3, 1]]"
20,"[[3, 1], [1, 2], [1, 2], [1], [1, 1]]","[[2], [1, 1], [1, 1], [2], [5]]"
21,"[[1], [1], [2, 2], [2, 2], [1, 2]]","[[1, 3], [2], [1, 1], [3], [2]]"
22,"[[5], [1, 2], [1, 1], [1, 1], [1]]","[[3], [1], [2, 2], [2], [1, 2]]"
23,"[[3], [2, 1], [1, 1], [3, 1], [2]]","[[3], [1, 2], [2, 1], [1], [4]]"
24,"[[2], [2, 1], [4], [3], [1]]","[[4], [3], [2], [3], [1]]"
25,"[[1, 2], [2], [1, 3], [3], [4]]","[[1], [1, 1], [4], [5], [1, 3]]"
26,"[[3], [1, 2], [2], [2], [0]]","[[1], [1, 1], [4], [2, 1], [0]]"
27,"[[1, 2], [1], [1, 2], [1, 1], [0]]","[[1, 2], [0], [1], [1, 1], [1, 2]]"
28,"[[2], [1, 1], [1], [4], [1, 2]]","[[1, 2], [4], [2], [1, 2], [0]]"
29,"[[1, 2], [2, 1], [4], [4], [4]]","[[1], [5], [3], [5], [1, 3]]"
30,"[[1], [1], [5], [1, 1], [3]]","[[2], [1], [2, 1], [3], [1, 1, 1]]"
31,"[[2, 1], [2], [1], [1, 1], [4]]","[[1, 1, 1], [1, 1], [1, 2], [2, 1], [1]]"
32,"[[2], [2], [4], [1, 2], [1, 3]]","[[1, 1], [4], [1, 1, 1], [3], [3]]"
33,"[[5], [1, 1], [1, 1], [1, 1, 1], [3, 1]]","[[2, 2], [1, 1], [5], [1], [1, 3]]"
34,"[[0], [1], [3, 1], [4], [2, 1]]","[[1, 1], [3], [3], [1], [3]]"
35,"[[5], [2, 2], [1], [2, 1], [1]]","[[3], [2, 1], [1, 1], [2], [2, 2]]"
36,"[[5], [1, 1], [1, 1, 1], [1], [0]]","[[1, 2], [2], [1, 1], [1], [3]]"
37,"[[1, 1, 1], [2, 1], [1, 1, 1], [1], [2, 1]]","[[1, 3], [1, 1], [3], [0], [3, 1]]"
38,"[[1, 1, 1], [4], [1, 1], [1, 1], [0]]","[[4], [1], [2], [1, 1], [1, 1]]"
39,"[[3, 1], [1, 1], [2], [1, 1], [1, 2]]","[[1, 2], [3], [1, 1], [1, 2], [1, 1]]"
40,"[[1, 1], [3], [2], [3], [4]]","[[1], [1, 1], [5], [1, 2], [2, 1]]"
41,"[[2], [1, 1], [1, 2], [1, 1, 1], [1]]","[[1], [1], [2, 1], [1, 1], [4]]"
42,"[[1, 2], [2], [0], [1], [3]]","[[0], [2, 1], [1, 2], [1, 1], [1]]"
43,"[[1, 2], [1], [5], [2, 2], [1, 3]]","[[3], [1, 2], [1, 1], [1, 3], [5]]"
