puzzle_number,type,hints
1,row,"[[5], [1], [4], [1], [1]]"
1,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
2,row,"[[5], [1], [4], [1], [1]]"
2,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
3,row,"[[5], [1], [4], [1], [1]]"
3,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
4,row,"[[5], [1], [4], [1], [1]]"
4,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
5,row,"[[5], [1], [4], [1], [1]]"
5,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
6,row,"[[5], [1], [4], [1], [1]]"
6,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
7,row,"[[5], [1], [4], [1], [1]]"
7,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
8,row,"[[5], [1], [4], [1], [1]]"
8,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
9,row,"[[5], [1], [4], [1], [1]]"
9,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
10,row,"[[5], [1], [4], [1], [1]]"
10,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
11,row,"[[5], [1], [4], [1], [1]]"
11,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
12,row,"[[5], [1], [4], [1], [1]]"
12,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
13,row,"[[5], [1], [4], [1], [1]]"
13,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
14,row,"[[5], [1], [4], [1], [1]]"
14,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
15,row,"[[5], [1], [4], [1], [1]]"
15,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
16,row,"[[5], [1], [4], [1], [1]]"
16,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
17,row,"[[5], [1], [4], [1], [1]]"
17,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
18,row,"[[5], [1], [4], [1], [1]]"
18,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
19,row,"[[5], [1], [4], [1], [1]]"
19,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
20,row,"[[5], [1], [4], [1], [1]]"
20,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
21,row,"[[5], [1], [4], [1], [1]]"
21,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
22,row,"[[5], [1], [4], [1], [1]]"
22,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
23,row,"[[5], [1], [4], [1], [1]]"
23,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
24,row,"[[5], [1], [4], [1], [1]]"
24,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
25,row,"[[5], [1], [4], [1], [1]]"
25,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
26,row,"[[5], [1], [4], [1], [1]]"
26,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
27,row,"[[5], [1], [4], [1], [1]]"
27,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
28,row,"[[5], [1], [4], [1], [1]]"
28,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
29,row,"[[5], [1], [4], [1], [1]]"
29,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
30,row,"[[5], [1], [4], [1], [1]]"
30,col,"[[2, 2], [1, 1], [1, 1], [1, 1], [1, 1]]"
31,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
31,col,"[[2], [1, 1], [2, 1], [2], [4]]"
32,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
32,col,"[[2], [1, 1], [2, 1], [2], [4]]"
33,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
33,col,"[[2], [1, 1], [2, 1], [2], [4]]"
34,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
34,col,"[[2], [1, 1], [2, 1], [2], [4]]"
35,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
35,col,"[[2], [1, 1], [2, 1], [2], [4]]"
36,row,"[[1, 2], [1, 3], [3, 1], [1], [1]]"
36,col,"[[2], [1, 1], [2, 1], [2], [4]]"
