puzzle_number,type,hints
15001,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15001,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15002,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15002,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15003,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15003,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15004,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15004,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15005,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15005,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15006,row,"[[1, 1], [2], [1, 3], [3], [1]]"
15006,col,"[[1], [2, 1], [3], [1, 2], [1, 1]]"
15007,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15007,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15008,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15008,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15009,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15009,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15010,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15010,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15011,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15011,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15012,row,"[[0], [1, 2], [1, 1], [2], [2]]"
15012,col,"[[1, 1], [1], [1], [1, 1], [3]]"
15013,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15013,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15014,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15014,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15015,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15015,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15016,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15016,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15017,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15017,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15018,row,"[[2], [1, 2], [1, 3], [2], [1]]"
15018,col,"[[1, 1, 1], [2, 1], [2], [2], [2]]"
15019,row,"[[1], [4], [1], [1, 1], [1]]"
15019,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15020,row,"[[1], [4], [1], [1, 1], [1]]"
15020,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15021,row,"[[1], [4], [1], [1, 1], [1]]"
15021,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15022,row,"[[1], [4], [1], [1, 1], [1]]"
15022,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15023,row,"[[1], [4], [1], [1, 1], [1]]"
15023,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15024,row,"[[1], [4], [1], [1, 1], [1]]"
15024,col,"[[1], [1], [1], [3, 1], [1, 1]]"
15025,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15025,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15026,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15026,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15027,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15027,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15028,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15028,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15029,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15029,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15030,row,"[[1, 1], [2, 1], [2], [2, 1], [1, 1]]"
15030,col,"[[2], [3], [2, 1], [1], [2, 1]]"
15031,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15031,col,"[[1], [3], [2, 1], [1], [4]]"
15032,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15032,col,"[[1], [3], [2, 1], [1], [4]]"
15033,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15033,col,"[[1], [3], [2, 1], [1], [4]]"
15034,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15034,col,"[[1], [3], [2, 1], [1], [4]]"
15035,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15035,col,"[[1], [3], [2, 1], [1], [4]]"
15036,row,"[[0], [2, 1], [2, 1], [2, 1], [3]]"
15036,col,"[[1], [3], [2, 1], [1], [4]]"
15037,row,"[[2], [3], [4], [1, 3], [5]]"
15037,col,"[[2], [3, 1], [5], [4], [3]]"
15038,row,"[[2], [3], [4], [1, 3], [5]]"
15038,col,"[[2], [3, 1], [5], [4], [3]]"
15039,row,"[[2], [3], [4], [1, 3], [5]]"
15039,col,"[[2], [3, 1], [5], [4], [3]]"
15040,row,"[[2], [3], [4], [1, 3], [5]]"
15040,col,"[[2], [3, 1], [5], [4], [3]]"
15041,row,"[[2], [3], [4], [1, 3], [5]]"
15041,col,"[[2], [3, 1], [5], [4], [3]]"
15042,row,"[[2], [3], [4], [1, 3], [5]]"
15042,col,"[[2], [3, 1], [5], [4], [3]]"
15043,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15043,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15044,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15044,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15045,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15045,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15046,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15046,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15047,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15047,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15048,row,"[[2], [1, 2], [1, 1], [5], [1]]"
15048,col,"[[1], [1, 1], [1, 2], [2, 2], [3]]"
15049,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15049,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15050,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15050,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15051,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15051,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15052,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15052,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15053,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15053,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15054,row,"[[2, 2], [2, 1], [2], [3], [1, 1]]"
15054,col,"[[2], [3, 1], [2], [1, 1], [2, 2]]"
15055,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15055,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15056,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15056,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15057,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15057,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15058,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15058,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15059,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15059,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15060,row,"[[1, 1], [1, 1], [2], [1, 1], [3, 1]]"
15060,col,"[[2, 1], [2], [2, 1], [1], [3]]"
15061,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15061,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15062,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15062,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15063,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15063,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15064,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15064,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15065,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15065,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15066,row,"[[2, 1], [1, 1], [2], [2], [4]]"
15066,col,"[[2, 1], [1, 2], [2], [1, 1], [3]]"
15067,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15067,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15068,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15068,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15069,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15069,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15070,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15070,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15071,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15071,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15072,row,"[[3], [2], [1, 1], [2], [1, 1]]"
15072,col,"[[2, 1], [3], [1, 1], [3], [0]]"
15073,row,"[[4], [1, 2], [1], [4], [1]]"
15073,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15074,row,"[[4], [1, 2], [1], [4], [1]]"
15074,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15075,row,"[[4], [1, 2], [1], [4], [1]]"
15075,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15076,row,"[[4], [1, 2], [1], [4], [1]]"
15076,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15077,row,"[[4], [1, 2], [1], [4], [1]]"
15077,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15078,row,"[[4], [1, 2], [1], [4], [1]]"
15078,col,"[[2, 1], [1, 2], [2, 1], [2, 2], [0]]"
15079,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15079,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15080,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15080,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15081,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15081,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15082,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15082,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15083,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15083,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15084,row,"[[3], [1], [3], [3, 1], [1, 1]]"
15084,col,"[[2], [2, 1], [1, 2], [1, 1, 1], [2]]"
15085,row,"[[4], [1], [1, 2], [1], [2]]"
15085,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15086,row,"[[4], [1], [1, 2], [1], [2]]"
15086,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15087,row,"[[4], [1], [1, 2], [1], [2]]"
15087,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15088,row,"[[4], [1], [1, 2], [1], [2]]"
15088,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15089,row,"[[4], [1], [1, 2], [1], [2]]"
15089,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15090,row,"[[4], [1], [1, 2], [1], [2]]"
15090,col,"[[3], [1, 2], [1, 1, 1], [1, 1], [0]]"
15091,row,"[[1, 1], [4], [2], [1, 1], [3]]"
15091,col,"[[2], [2, 1], [2, 1], [4], [1]]"
15092,row,"[[1, 1], [4], [2], [1, 1], [3]]"
15092,col,"[[2], [2, 1], [2, 1], [4], [1]]"
15093,row,"[[1, 1], [4], [2], [1, 1], [3]]"
15093,col,"[[2], [2, 1], [2, 1], [4], [1]]"
15094,row,"[[1, 1], [4], [2], [1, 1], [3]]"
